"COFONTERECEITA","NOFONTERECEITA"
"10","Receitas Correntes                                                    "
"11","Impostos, Taxas e Contribuições de Melhoria                           "
"12","Contribuições                                                         "
"13","Receita Patrimonial                                                   "
"14","Receita Agropecuária                                                  "
"15","Receita Industrial                                                    "
"16","Receita de Serviços                                                   "
"17","Transferências Correntes                                              "
"19","Outras Receitas Correntes                                             "
"20","Receitas de Capital                                                   "
"21","Operações de Crédito                                                  "
"22","Alienação de Bens                                                     "
"23","Amortização de Empréstimos                                            "
"24","Transferências de Capital                                             "
"29","Outras Receitas de Capital                                            "
"70","Receitas Correntes Intra Orçamentária                                 "
"71","Impostos, Taxas e Contribuições de Melhoria - Intra                   "
"72","Contribuições                                                         "
"73","Receita Patrimonial                                                   "
"76","Receita de Serviços                                                   "
"77","Transferências Correntes Intra Orçamentária                           "
"79","Outras Receitas Correntes                                             "
"90","Recursos Arrecadados em Exercícios Anteriores                         "
"99","Recursos Arrecadados em Exercícios Anteriores                         "
